episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
376,-1232.4060000000006,200,0.67955,1319,13.0,265.0,2,175
377,-1209.76,200,0.6787000000000001,1321,18.0,270.0,3,183
378,-1276.6739999999998,200,0.6778500000000001,1321,27.0,306.0,4,182
379,-1313.8079999999998,200,0.677,1322,17.0,293.0,4,170
380,-1659.42,200,0.67615,1322,24.0,374.0,5,176
381,-1095.4679999999994,200,0.6753,1322,28.0,270.0,6,176
382,-1359.8219999999992,200,0.67445,1323,28.0,325.0,6,173
383,-761.4340000000001,200,0.6736,1326,47.0,251.0,9,175
384,-1493.1360000000002,200,0.67275,1328,15.0,322.0,4,171
385,-1189.8180000000004,200,0.6718999999999999,1331,22.0,275.0,5,176
386,-1409.9220000000003,200,0.6710499999999999,1332,12.0,298.0,3,173
387,-1601.9880000000003,200,0.6702,1332,4.0,318.0,1,170
388,-1735.2500000000002,200,0.66935,1335,0.0,336.0,0,175
389,-1965.3400000000001,200,0.6685,1337,8.0,402.0,4,167
390,-1164.9040000000007,200,0.6676500000000001,1337,15.0,256.0,2,156
391,-1346.4419999999998,200,0.6668000000000001,1337,26.0,317.0,5,172
392,-1903.465999999999,200,0.66595,1337,0.0,370.0,0,173
393,-1184.2979999999995,200,0.6651,1337,31.0,294.0,8,158
394,-1209.6359999999993,200,0.66425,1337,30.0,297.0,7,165
395,-957.3140000000001,200,0.6634,1338,30.0,247.0,9,170
396,-1305.7079999999999,200,0.66255,1343,15.0,282.0,3,177
397,-1412.9560000000001,200,0.6617,1344,8.0,291.0,2,165
398,-1589.7820000000004,200,0.6608499999999999,1344,7.0,322.0,2,166
399,-1320.1620000000005,200,0.6599999999999999,1344,25.0,311.0,11,172
400,-1303.6660000000004,200,0.65915,1345,7.0,266.0,2,169
401,-1615.441999999999,200,0.6583,1348,17.0,350.0,4,172
402,-750.1619999999999,200,0.65745,1350,44.0,238.0,8,164
403,-2001.4419999999996,200,0.6566,1350,13.0,418.0,2,176
404,-1470.2699999999998,200,0.65575,1350,22.0,332.0,4,181
405,-1565.8040000000003,200,0.6549,1350,12.0,329.0,2,161
406,-1069.5459999999996,200,0.65405,1351,22.0,256.0,11,166
407,-869.138,200,0.6532,1351,26.0,222.0,8,170
408,-1309.0659999999998,200,0.65235,1351,35.0,329.0,6,171
409,-1013.1619999999997,200,0.6515,1353,36.0,273.0,12,163
410,-1692.3399999999997,200,0.65065,1353,8.0,345.0,2,179
411,-1595.1019999999996,200,0.6498,1353,14.0,339.0,3,174
412,-938.054,200,0.64895,1353,13.0,207.0,2,168
413,-1331.1499999999999,200,0.6481,1353,24.0,309.0,4,174
414,-1740.0940000000007,200,0.6472500000000001,1353,0.0,336.0,0,176
