episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
183,-1190.8180000000004,200,0.8957333333333334,1030,19.0,273.0,4,179
184,-1649.27,200,0.8951666666666667,1030,0.0,318.0,0,177
185,-1299.6,200,0.8946000000000001,1033,17.0,287.0,4,177
186,-1229.0220000000008,200,0.8940333333333333,1035,17.0,272.0,4,175
187,-1655.0339999999999,200,0.8934666666666666,1035,15.0,357.0,4,177
188,-1040.262,200,0.8929,1036,17.0,236.0,3,182
189,-1831.8319999999992,200,0.8923333333333333,1040,0.0,356.0,0,179
190,-1781.8539999999991,200,0.8917666666666667,1041,10.0,368.0,2,179
191,-1098.0440000000003,200,0.8912,1052,19.0,251.0,6,183
192,-2123.984000000001,200,0.8906333333333334,1058,0.0,414.0,0,175
193,-1597.9159999999997,200,0.8900666666666667,1058,7.0,324.0,1,182
194,-977.9320000000001,200,0.8895,1060,28.0,248.0,6,181
195,-1690.2920000000006,200,0.8889333333333334,1060,0.0,327.0,0,183
196,-1349.1799999999998,200,0.8883666666666666,1060,14.0,290.0,4,175
197,-1514.1700000000003,200,0.8878,1064,0.0,292.0,0,178
198,-2035.1219999999985,200,0.8872333333333333,1064,5.0,407.0,1,181
199,-1278.6639999999998,200,0.8866666666666667,1064,20.0,290.0,5,181
200,-1035.9519999999995,200,0.8861,1068,31.0,269.0,6,174
201,-1685.5879999999997,200,0.8855333333333333,1070,8.0,344.0,2,180
202,-1672.716,200,0.8849666666666667,1070,0.0,322.0,0,172
203,-1311.8960000000004,200,0.8844,1070,5.0,263.0,1,174
204,-1202.4719999999995,200,0.8838333333333334,1070,24.0,286.0,6,181
205,-1178.3920000000007,200,0.8832666666666666,1074,22.0,273.0,4,184
206,-1775.8040000000003,200,0.8827,1074,6.0,356.0,1,181
207,-1419.752,200,0.8821333333333333,1077,13.0,301.0,3,181
208,-1519.8640000000003,200,0.8815666666666666,1077,9.0,312.0,2,173
209,-1395.5320000000004,200,0.881,1079,7.0,283.0,2,182
210,-1476.95,200,0.8804333333333334,1080,23.0,336.0,6,172
211,-1541.7199999999993,200,0.8798666666666667,1080,28.0,362.0,7,181
212,-1559.2860000000003,200,0.8793,1080,8.0,318.0,1,176
213,-1096.3699999999997,200,0.8787333333333334,1080,19.0,253.0,3,178
214,-1485.7739999999997,200,0.8781666666666667,1080,13.0,314.0,2,179
215,-1057.6760000000002,200,0.8776,1082,14.0,234.0,3,182
216,-2255.7540000000004,200,0.8770333333333333,1082,0.0,440.0,0,170
217,-1918.5399999999986,200,0.8764666666666666,1082,13.0,402.0,2,170
218,-1179.122,200,0.8759,1082,14.0,257.0,3,178
219,-1241.1979999999996,200,0.8753333333333333,1082,22.0,288.0,6,176
220,-1710.382,200,0.8747666666666667,1087,0.0,331.0,0,165
221,-1614.8559999999998,200,0.8742,1087,3.0,319.0,1,171
222,-2037.782,200,0.8736333333333334,1087,0.0,397.0,0,168
223,-1991.994,200,0.8730666666666667,1088,0.0,387.0,0,172
224,-1853.2839999999999,200,0.8725,1089,12.0,387.0,2,178
225,-1300.736,200,0.8719333333333333,1092,13.0,277.0,2,175
226,-1171.086,200,0.8713666666666666,1096,16.0,259.0,3,178
227,-1757.8279999999997,200,0.8708,1097,19.0,384.0,3,183
228,-1392.2699999999998,200,0.8702333333333333,1098,0.0,267.0,0,166
229,-1114.2619999999995,200,0.8696666666666667,1100,0.0,212.0,0,177
230,-1519.7519999999995,200,0.8691,1100,2.0,297.0,1,179
231,-1414.932,200,0.8685333333333334,1100,17.0,314.0,4,172
232,-1455.2080000000005,200,0.8679666666666667,1102,10.0,303.0,3,180
233,-1625.7999999999988,200,0.8674,1102,10.0,337.0,2,176
