episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
172,-123.80460000000001,200,0.8587166666666667,34600,0.6652702365815639,26.0,297.0,6,171
173,-103.8083999999999,200,0.8579,34800,0.6340288323163986,20.0,241.0,2,178
174,-117.23739999999998,200,0.8570833333333333,35000,0.6433494428545237,27.0,286.0,7,173
175,-112.95460000000001,200,0.8562666666666667,35200,0.661692318469286,28.0,280.0,8,173
176,-159.7268,200,0.85545,35400,0.6649594770371914,19.0,353.0,4,172
177,-134.7906,200,0.8546333333333334,35600,0.6684351821243762,13.0,287.0,2,172
178,-130.24400000000003,200,0.8538166666666667,35800,0.629053258895874,21.0,296.0,3,178
179,-93.62899999999999,200,0.853,36000,0.6472274094820023,31.0,244.0,6,182
180,-138.5228,200,0.8521833333333333,36200,0.6979056832194328,4.0,275.0,3,181
181,-138.61859999999993,200,0.8513666666666666,36400,0.677301008105278,15.0,299.0,3,171
182,-187.37839999999989,200,0.85055,36600,0.6465404748916626,11.0,388.0,3,179
183,-142.26120000000003,200,0.8497333333333333,36800,0.663116651326418,6.0,286.0,1,176
184,-140.654,200,0.8489166666666667,37000,0.6529231484234334,15.0,303.0,2,171
185,-130.63319999999993,200,0.8481,37200,0.6639860524982214,15.0,284.0,2,171
186,-122.81599999999995,200,0.8472833333333334,37400,0.702714441716671,14.0,265.0,3,172
187,-160.6004,200,0.8464666666666667,37600,0.6678717785328626,20.0,357.0,3,174
188,-120.33380000000001,200,0.84565,37800,0.6767312955856323,9.0,248.0,2,176
189,-161.40040000000002,200,0.8448333333333333,38000,0.6844522772729397,14.0,342.0,2,183
190,-157.48299999999998,200,0.8440166666666666,38200,0.6983546160161496,23.0,355.0,4,185
191,-116.42320000000001,200,0.8432,38400,0.67012854129076,21.0,270.0,5,169
192,-204.52040000000005,200,0.8423833333333334,38600,0.6685113306343555,5.0,409.0,1,172
193,-158.89540000000002,200,0.8415666666666667,38800,0.6655534054338932,6.0,320.0,1,178
194,-133.28919999999994,200,0.84075,39000,0.6750942723453045,7.0,271.0,1,169
195,-127.44679999999998,200,0.8399333333333333,39200,0.6416352462768554,23.0,296.0,5,181
196,-106.04619999999997,200,0.8391166666666667,39400,0.6958818174898624,33.0,274.0,7,190
197,-145.1598,200,0.8383,39600,0.6586296130716801,4.0,288.0,1,177
198,-163.12140000000005,200,0.8374833333333334,39800,0.646497486680746,29.0,382.0,6,180
199,-137.66479999999999,200,0.8366666666666667,40000,0.6594961544871331,14.0,296.0,4,178
200,-142.53779999999998,200,0.83585,40200,0.7068288223445416,8.0,292.0,1,171
201,-135.78799999999998,200,0.8350333333333333,40400,0.687299533188343,29.0,328.0,6,180
202,-108.84379999999996,200,0.8342166666666667,40600,0.6533251395821571,33.0,279.0,7,171
203,-113.06819999999998,200,0.8334,40800,0.6916204909980297,15.0,250.0,4,186
204,-103.90799999999997,200,0.8325833333333333,41000,0.6827437810599803,36.0,281.0,9,174
205,-144.98980000000003,200,0.8317666666666667,41200,0.6695664793998003,5.0,290.0,1,172
206,-145.0634,200,0.8309500000000001,41400,0.6881509061157703,28.0,341.0,7,185
207,-133.7984,200,0.8301333333333334,41600,0.6954627650976181,18.0,296.0,5,168
208,-166.46940000000012,200,0.8293166666666667,41800,0.6692344878613948,0.0,321.0,0,175
209,-139.28680000000003,200,0.8285,42000,0.701982903778553,5.0,278.0,2,180
210,-161.55120000000005,200,0.8276833333333333,42200,0.6874496804177761,22.0,361.0,6,174
211,-168.0709999999999,200,0.8268666666666666,42400,0.6979451033473015,19.0,371.0,5,180
212,-162.11380000000008,200,0.82605,42600,0.6638668189197778,4.0,322.0,1,177
213,-123.63539999999998,200,0.8252333333333333,42800,0.6739545480906963,11.0,261.0,2,179
214,-165.913,200,0.8244166666666667,43000,0.6962118086218834,0.0,320.0,0,181
215,-100.65920000000006,200,0.8236,43200,0.6695459552109242,15.0,226.0,5,170
216,-219.37179999999995,200,0.8227833333333333,43400,0.7099398493766784,4.0,436.0,1,175
217,-185.70900000000006,200,0.8219666666666667,43600,0.67196901910007,17.0,398.0,3,178
218,-128.085,200,0.82115,43800,0.6763091407716274,8.0,262.0,2,178
219,-129.4321999999999,200,0.8203333333333334,44000,0.6875288839638233,17.0,285.0,3,173
220,-158.2982,200,0.8195166666666667,44200,0.6883699048310519,8.0,323.0,2,179
221,-124.28080000000003,200,0.8187,44400,0.6840890611708165,24.0,292.0,6,171
222,-175.2749999999999,200,0.8178833333333333,44600,0.699700647443533,18.0,379.0,4,172
223,-148.31859999999998,200,0.8170666666666666,44800,0.6697103653848171,27.0,345.0,6,171
224,-157.4176,200,0.81625,45000,0.698483920097351,29.0,370.0,6,174
