episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
157,-1267.1199999999997,200,0.8657,966,12.0,269.0,3,175
158,-1591.0220000000002,200,0.86485,968,17.0,345.0,3,177
159,-1503.4100000000008,200,0.864,970,12.0,318.0,3,180
160,-782.9200000000001,200,0.86315,973,24.0,198.0,5,174
161,-1173.792,200,0.8623000000000001,974,20.0,268.0,6,171
162,-1858.7620000000002,200,0.86145,976,10.0,381.0,1,180
163,-1093.6819999999993,200,0.8606,977,29.0,278.0,7,179
164,-1164.6319999999996,200,0.85975,981,8.0,239.0,2,172
165,-992.5760000000004,200,0.8589,984,34.0,265.0,7,169
166,-1724.7639999999994,200,0.85805,990,7.0,350.0,1,170
167,-1717.6760000000008,200,0.8572,990,6.0,346.0,1,170
168,-1286.3560000000004,200,0.85635,993,16.0,285.0,4,176
169,-1621.9879999999998,200,0.8554999999999999,994,11.0,337.0,4,176
170,-1250.656,200,0.85465,998,15.0,271.0,2,175
171,-1440.9079999999997,200,0.8538,998,11.0,300.0,2,177
172,-1503.854,200,0.85295,1000,10.0,312.0,2,178
173,-1297.0439999999994,200,0.8521000000000001,1003,4.0,257.0,1,178
174,-1184.544,200,0.8512500000000001,1004,32.0,299.0,5,175
175,-1325.8139999999999,200,0.8504,1005,18.0,297.0,5,173
176,-1746.9359999999997,200,0.84955,1008,10.0,362.0,2,173
177,-1577.128,200,0.8487,1013,0.0,305.0,0,176
178,-845.0879999999997,200,0.84785,1020,49.0,265.0,9,176
179,-1430.3760000000002,200,0.847,1026,0.0,275.0,0,179
180,-1448.7559999999996,200,0.84615,1026,0.0,279.0,0,176
181,-1625.7259999999999,200,0.8452999999999999,1031,0.0,314.0,0,182
182,-1855.4339999999993,200,0.84445,1033,12.0,387.0,2,178
183,-1516.8800000000012,200,0.8436,1035,0.0,292.0,0,172
184,-1649.17,200,0.84275,1036,0.0,318.0,0,176
185,-1272.576,200,0.8419,1036,17.0,282.0,4,166
186,-1187.6980000000005,200,0.84105,1036,17.0,265.0,5,173
187,-1911.924,200,0.8402000000000001,1037,0.0,372.0,0,174
188,-1007.1420000000002,200,0.83935,1038,18.0,230.0,4,176
189,-1594.2719999999997,200,0.8385,1038,15.0,341.0,3,175
190,-1508.5379999999998,200,0.83765,1039,25.0,348.0,5,172
191,-983.4300000000002,200,0.8368,1045,24.0,241.0,10,178
192,-1901.524,200,0.83595,1049,14.0,400.0,3,178
193,-1707.6260000000007,200,0.8351,1051,0.0,331.0,0,178
194,-1048.25,200,0.8342499999999999,1057,24.0,252.0,5,169
195,-1140.8419999999999,200,0.8334,1059,33.0,294.0,6,178
196,-1227.2400000000005,200,0.83255,1063,21.0,282.0,5,177
197,-1342.2440000000004,200,0.8317,1063,11.0,281.0,1,171
198,-1700.4800000000007,200,0.83085,1065,21.0,379.0,7,177
199,-1198.4160000000006,200,0.83,1065,24.0,286.0,6,172
200,-1171.7859999999998,200,0.82915,1068,23.0,277.0,5,173
201,-1502.4719999999993,200,0.8283,1070,18.0,331.0,5,177
202,-1672.6160000000002,200,0.82745,1070,0.0,322.0,0,171
203,-1000.0140000000001,200,0.8266,1070,25.0,246.0,6,178
204,-1121.3880000000001,200,0.82575,1070,30.0,287.0,8,168
205,-1208.5880000000004,200,0.8249,1073,20.0,275.0,4,176
206,-1364.952,200,0.82405,1078,31.0,331.0,8,172
207,-1446.554000000001,200,0.8232,1079,13.0,306.0,2,170
208,-1395.9180000000001,200,0.82235,1079,17.0,308.0,4,182
209,-1270.9860000000006,200,0.8215,1082,15.0,275.0,2,175
210,-1556.1440000000002,200,0.82065,1083,17.0,339.0,6,175
211,-1690.348,200,0.8198,1083,19.0,371.0,5,187
212,-1588.87,200,0.8189500000000001,1084,6.0,320.0,1,175
213,-1148.1580000000004,200,0.8181,1085,16.0,256.0,3,177
214,-1496.8700000000003,200,0.81725,1085,10.0,310.0,2,175
215,-1055.852,200,0.8164,1085,14.0,232.0,4,170
216,-2000.4620000000011,200,0.81555,1085,14.0,420.0,2,178
217,-1863.3519999999996,200,0.8147,1086,17.0,398.0,2,177
218,-1411.674,200,0.81385,1087,0.0,271.0,0,177
219,-1293.9259999999992,200,0.813,1089,17.0,285.0,4,179
220,-1712.082,200,0.81215,1093,0.0,331.0,0,182
221,-1086.0879999999997,200,0.8113,1093,39.0,291.0,6,170
222,-1798.6920000000007,200,0.81045,1093,15.0,382.0,3,172
223,-1847.7020000000002,200,0.8096,1093,9.0,378.0,2,177
224,-1422.9540000000002,200,0.80875,1094,35.0,355.0,8,176
225,-1502.222,200,0.8079000000000001,1099,0.0,290.0,0,164
226,-1266.5079999999996,200,0.80705,1100,11.0,269.0,3,175
227,-1646.648,200,0.8062,1100,24.0,372.0,7,178
228,-1393.2700000000002,200,0.80535,1106,0.0,267.0,0,176
229,-661.0420000000001,200,0.8045,1116,30.0,189.0,5,177
230,-1258.1359999999997,200,0.80365,1117,19.0,282.0,4,170
231,-1172.106,200,0.8028,1117,37.0,310.0,8,172
232,-1337.18,200,0.8019499999999999,1120,19.0,299.0,4,178
233,-1196.8800000000006,200,0.8011,1120,37.0,312.0,7,176
234,-1289.5839999999998,200,0.80025,1123,14.0,278.0,4,170
235,-1804.632,200,0.7994,1123,2.0,355.0,1,181
236,-1643.1619999999987,200,0.79855,1124,0.0,317.0,0,174
237,-1388.4520000000002,200,0.7977000000000001,1125,20.0,312.0,5,164
238,-1221.6779999999997,200,0.7968500000000001,1128,20.0,279.0,5,180
239,-1322.1599999999996,200,0.796,1134,17.0,292.0,5,175
240,-1614.6879999999992,200,0.79515,1134,3.0,318.0,1,178
241,-1860.404000000001,200,0.7943,1134,2.0,366.0,1,182
242,-1244.2019999999995,200,0.79345,1140,28.0,299.0,4,178
243,-1409.4799999999993,200,0.7926,1140,15.0,304.0,2,161
244,-1583.7779999999996,200,0.79175,1140,21.0,352.0,4,170
245,-1460.8459999999995,200,0.7909,1140,20.0,326.0,4,173
246,-831.1000000000004,200,0.79005,1143,26.0,214.0,6,167
247,-1468.0759999999993,200,0.7892,1145,0.0,282.0,0,181
248,-930.5799999999999,200,0.78835,1145,28.0,240.0,7,176
249,-1330.4539999999997,200,0.7875,1146,33.0,328.0,5,165
250,-1781.8299999999992,200,0.7866500000000001,1146,0.0,346.0,0,168
251,-1177.6019999999999,200,0.7858,1146,18.0,266.0,4,168
252,-1093.1540000000002,200,0.78495,1148,22.0,255.0,3,174
253,-1378.9340000000002,200,0.7841,1152,14.0,297.0,5,172
254,-1434.3899999999996,200,0.78325,1152,14.0,308.0,3,167
255,-1744.0360000000003,200,0.7824,1152,17.0,378.0,3,173
256,-1401.444,200,0.78155,1153,31.0,338.0,6,172
257,-1300.7420000000004,200,0.7807,1153,7.0,264.0,2,179
258,-1470.9,200,0.7798499999999999,1155,26.0,343.0,4,174
259,-1127.9979999999998,200,0.779,1159,20.0,260.0,5,163
260,-1318.4819999999993,200,0.77815,1160,5.0,263.0,1,172
261,-1265.1860000000006,200,0.7773,1163,14.0,273.0,2,173
262,-1245.476,200,0.77645,1165,0.0,239.0,0,175
263,-1500.8380000000002,200,0.7756,1168,5.0,300.0,1,171
264,-1818.269999999999,200,0.77475,1169,0.0,354.0,0,170
265,-959.0120000000001,200,0.7739,1170,24.0,236.0,5,171
266,-1469.5359999999994,200,0.77305,1171,0.0,282.0,0,182
267,-1292.7720000000004,200,0.7722,1171,39.0,335.0,6,179
268,-1248.4260000000002,200,0.77135,1172,39.0,329.0,11,166
269,-1373.4699999999998,200,0.7705,1172,16.0,302.0,5,171
270,-1722.382,200,0.76965,1174,0.0,333.0,0,182
271,-1230.0019999999997,200,0.7687999999999999,1174,17.0,274.0,5,162
272,-756.032,200,0.76795,1178,55.0,270.0,13,166
273,-1070.56,200,0.7671,1185,27.0,264.0,5,176
274,-986.4659999999998,200,0.76625,1189,29.0,248.0,8,174
275,-1334.066,200,0.7654,1190,9.0,276.0,2,176
276,-1723.586000000001,200,0.76455,1191,0.0,334.0,0,174
277,-1578.6139999999998,200,0.7637,1192,28.0,366.0,5,172
278,-1786.1159999999998,200,0.76285,1192,0.0,346.0,0,176
279,-1455.3419999999996,200,0.762,1195,4.0,289.0,1,170
280,-1511.5579999999998,200,0.76115,1195,23.0,343.0,5,168
281,-964.9179999999994,200,0.7603,1196,37.0,266.0,7,168
282,-1574.8860000000004,200,0.7594500000000001,1197,14.0,334.0,4,168
283,-1470.5480000000002,200,0.7586,1199,3.0,290.0,1,170
284,-1284.254,200,0.75775,1199,15.0,278.0,2,165
285,-1431.258,200,0.7569,1202,0.0,276.0,0,168
286,-1298.8439999999996,200,0.75605,1202,0.0,250.0,0,180
287,-1262.8719999999996,200,0.7552000000000001,1203,0.0,243.0,0,169
288,-1587.7120000000002,200,0.7543500000000001,1204,23.0,357.0,3,172
289,-1634.7480000000003,200,0.7535000000000001,1204,5.0,327.0,1,174
290,-844.3020000000002,200,0.75265,1211,16.0,194.0,4,175
291,-1854.2720000000004,200,0.7518,1211,3.0,367.0,1,166
292,-1629.7679999999998,200,0.75095,1211,0.0,315.0,0,168
293,-1175.6320000000007,200,0.7501,1211,5.0,236.0,2,173
294,-2066.1640000000007,200,0.74925,1213,0.0,404.0,0,164
295,-1405.171999999999,200,0.7484,1213,0.0,270.0,0,184
296,-1446.3039999999994,200,0.7475499999999999,1214,11.0,302.0,2,182
297,-905.3420000000002,200,0.7467,1215,34.0,251.0,8,167
298,-1443.2779999999993,200,0.74585,1215,13.0,308.0,2,172
299,-1365.4839999999995,200,0.745,1218,6.0,275.0,1,173
300,-1509.0799999999995,200,0.7441500000000001,1219,16.0,327.0,3,171
301,-1439.7300000000005,200,0.7433000000000001,1221,11.0,302.0,2,171
